Date,AAPL,ADBE,AIG,AMD,AMZN,BAC,CRM,CVX,GOOGL,GS,JPM,MA,META,MS,MSFT,NVDA,ORCL,PYPL,V,XOM,ABBV,BA,CAT,CMS,COP,COST,DIS,DUK,HON,JNJ,KO,NEE,NFLX,PEP,PFE,PG,T,UNH,UPS,WMT
2019-03-05,78949600,2101800,4588800,35462600,73630000,39932500,16042900,7345200,40094000,2338600,10856600,2779100,28187900,10449100,19538300,362924000,16291900,6321900,9678600,13745500,5933100,2844300,3122900,1981300,7635500,2160200,5225100,3513400,3421345,6568900,13062300,7666800,59378000,3785400,26529812,6274600,34463455,6924500,3150900,18357900
2019-03-06,83241600,1950500,5266500,60479400,79920000,41672000,7436300,7599900,23602000,2247500,9070800,2849300,21531700,7062700,17687000,403524000,12389300,3226500,8186400,18633600,5293200,4159400,3886000,1604500,7296300,1985300,7352800,3121400,3975231,6236900,14232100,7155600,62119000,4770700,22410359,4622300,32544317,4878700,2679500,14089800
2019-03-07,99185600,3185200,5967000,52186300,99140000,53908600,6916500,7201100,30086000,3567800,12705700,3879600,18306500,12502100,25339000,450104000,16624100,6170100,8761700,16541700,6642500,4893600,4290800,2040000,6964300,3279100,6324000,3531000,3621351,6100400,12084000,9411200,61513000,4858300,29046132,8408600,32869756,5033500,3979700,18379800
2019-03-08,95997600,2195400,4195800,49967700,93340000,40860700,4800700,7014100,23694000,3162700,10582400,2691800,13184800,11748400,22818400,422416000,15071100,4577700,5168100,16211300,6189100,3794900,4238000,1762800,8068800,6782700,6549100,2443800,2954766,7046700,15579100,6972800,68988000,5003300,31306119,5144500,29797812,4921700,2648600,16977000
2019-03-11,128044000,2711700,3056900,54420200,77528000,40709300,5699500,6088600,30032000,2669000,9763200,2670100,18884000,7191600,26491600,859728000,20027700,5387500,9361500,11060900,8078100,34742200,3914800,1836200,8703500,3748400,6952700,3720200,2825374,6150400,22126900,7135600,53873000,4821600,29161545,7544400,34448494,4539600,2963400,16035900
2019-03-12,129870400,2583500,3611600,56410600,72290000,34450000,4082100,6184300,42220000,1977400,10219100,2478700,12155300,7204400,26132700,579576000,18048500,5624500,9465100,11320000,6128800,36922600,4208800,2223700,11790200,2647100,9920300,4583700,1843251,5552900,19348500,7140400,51646000,4356400,24170539,7597500,43009610,4235800,2549600,15211500
2019-03-13,124130000,3992500,5940300,56705800,71040000,54683300,5230600,4707000,25888000,1904500,13022200,2690400,11973300,9269000,35513800,768900000,19490800,9356600,8308900,10260200,5984500,32662300,4285200,1522200,8324800,2421200,17994500,4510500,2563454,6446900,16222500,4916000,64441000,5968600,23715316,9883300,36677713,4881600,3323800,16446900
2019-03-14,94318000,5113400,4759300,42818600,58932000,45219100,3247200,5146400,27302000,1482300,10926500,2838700,18037400,8351200,30763400,519384000,24000300,5414700,9364900,9976700,6161800,13514100,3742200,1883400,7315500,2300300,17409600,3600300,2688597,8493600,18504100,5816800,52714000,8986600,32119596,8590200,29249014,3865200,2539600,14777400
2019-03-15,156171600,12110500,7435900,46519900,151018000,82346200,6743700,10449700,51886000,2985200,24811700,3894200,37135400,18992600,54681100,661484000,43340200,10960900,20162000,25316400,12751100,26697700,7049900,5486800,16733200,5075400,14932700,7614200,5348968,11922500,47254500,14402000,84445000,18194200,74768652,30802700,70650758,6466200,4874400,43800000
2019-03-18,104879200,4013400,4745200,34731800,108582000,58568600,3575500,5586900,24442000,3354900,12935500,2734100,37524200,10305900,31207600,486992000,21953600,6454000,9689400,9840600,5550100,13119200,4095400,2124000,7712200,1735400,21769800,3977000,2423845,7369600,24006400,7469200,71947000,9476000,18994345,8442800,30882432,3927400,2394600,17310300
